year,month,source,measure,label,value,title,year_new,month_year
2024,Apr,Digital,insularity_cpc,Conservative,0.07,Insularity,24,Apr-24
2024,Apr,Digital,insularity_lpc,Liberal,0.17,Insularity,24,Apr-24
2024,Apr,Digital,insularity_ndp,NDP,0.13,Insularity,24,Apr-24
2024,Apr,Digital,news_inequality,News inequality,0.95,Inequality,24,Apr-24
2024,Apr,Digital,overall_inequality,Overall inequality,0.89,Inequality,24,Apr-24
2024,Apr,Digital,segmentation,Segmentation,0.89,Segmentation,24,Apr-24
2024,Apr,Digital,toxicity,Toxicity,0.01,Toxic speech,24,Apr-24
2024,Aug,Survey,avoidance,News avoidance,30.04,News avoidance,24,Aug-24
2024,Aug,Survey,chilled,Chilled speech,64.44,Chilled speech,24,Aug-24
2024,Aug,Survey,division,Division,22.24,Division,24,Aug-24
2024,Aug,Digital,insularity_cpc,Conservative,0.07,Insularity,24,Aug-24
2024,Aug,Digital,insularity_lpc,Liberal,0.12,Insularity,24,Aug-24
2024,Aug,Digital,insularity_ndp,NDP,0.13,Insularity,24,Aug-24
2024,Aug,Digital,news_inequality,News inequality,0.95,Inequality,24,Aug-24
2024,Aug,Digital,overall_inequality,Overall inequality,0.87,Inequality,24,Aug-24
2024,Aug,Digital,segmentation,Segmentation,0.87,Segmentation,24,Aug-24
2024,Aug,Digital,toxicity,Toxicity,0.02,Toxic speech,24,Aug-24
2024,Aug,Survey,trust_big_tech,Big Tech,25.56,Trust,24,Aug-24
2024,Aug,Survey,trust_elected_officials,Elected officials,32.8,Trust,24,Aug-24
2024,Aug,Survey,trust_gatekeepers,Information gatekeepers,41.25,Trust,24,Aug-24
2024,Aug,Survey,trust_journalists,Journalists,55.29,Trust,24,Aug-24
2024,Aug,Survey,trust_news_media,News Media,51.35,Trust,24,Aug-24
2024,Feb,Digital,insularity_cpc,Conservative,0.06,Insularity,24,Feb-24
2024,Feb,Digital,insularity_lpc,Liberal,0.14,Insularity,24,Feb-24
2024,Feb,Digital,insularity_ndp,NDP,0.13,Insularity,24,Feb-24
2024,Feb,Digital,news_inequality,News inequality,0.95,Inequality,24,Feb-24
