year,month,source,measure,label,value,title,year_new,month_year
2024,Aug,Survey,socmed_news,Social media,36.78,News consumption,24,Aug-24
2024,Aug,Survey,sharing,News sharing,10.22,News sharing,24,Aug-24
2024,Aug,Survey,seeking,News seeking,38.93,News seeking,24,Aug-24
2024,Aug,Survey,sources,International,33.85,News consumption,24,Aug-24
2024,Aug,Survey,sources,Local,41.95,News consumption,24,Aug-24
2024,Aug,Survey,sources,National,42.58,News consumption,24,Aug-24
2024,Jul,Survey,socmed_news,Social media,35.79,News consumption,24,Jul-24
2024,Jul,Survey,sharing,News sharing,10.75,News sharing,24,Jul-24
2024,Jul,Survey,seeking,News seeking,37.14,News seeking,24,Jul-24
2024,Jul,Survey,sources,International,34.14,News consumption,24,Jul-24
2024,Jul,Survey,sources,Local,40.52,News consumption,24,Jul-24
2024,Jul,Survey,sources,National,40.75,News consumption,24,Jul-24
2024,Aug,Survey,seeking,News seeking,38.93,News seeking,24,Aug-24
2024,Aug,Survey,sharing,News sharing,10.22,News sharing,24,Aug-24
2024,Aug,Survey,socmed_news,Social media,36.78,News consumption,24,Aug-24
2024,Jul,Survey,seeking,News seeking,37.14,News seeking,24,Jul-24
2024,Jul,Survey,sharing,News sharing,10.75,News sharing,24,Jul-24
2024,Jul,Survey,socmed_news,Social media,35.79,News consumption,24,Jul-24
2024,Jun,Survey,seeking,News seeking,34.34,News seeking,24,Jun-24
2024,Jun,Survey,sharing,News sharing,9.23,News sharing,24,Jun-24
2024,Jun,Survey,sources,National,36.14,News consumption,24,Jun-24
2024,Jun,Survey,sources,International,28.59,News consumption,24,Jun-24
2024,Jun,Survey,sources,Local,41.88,News consumption,24,Jun-24
2024,Jun,Survey,socmed_news,Social media,34.2,News consumption,24,Jun-24
2024,May,Survey,seeking,News seeking,36.78,News seeking,24,May-24
2024,May,Survey,sharing,News sharing,10.8,News sharing,24,May-24
2024,May,Survey,sources,National,39.07,News consumption,24,May-24
2024,May,Survey,sources,International,29.95,News consumption,24,May-24
2024,May,Survey,sources,Local,45.37,News consumption,24,May-24
2024,May,Survey,socmed_news,Social media,39.59,News consumption,24,May-24
2024,Oct,Survey,seeking,News seeking,38.41,News seeking,24,Oct-24
2024,Oct,Survey,sharing,News sharing,10.06,News sharing,24,Oct-24
2024,Oct,Survey,sources,National,40.71,News consumption,24,Oct-24
2024,Oct,Survey,sources,International,31.37,News consumption,24,Oct-24
2024,Oct,Survey,sources,Local,40.36,News consumption,24,Oct-24
2024,Oct,Survey,socmed_news,Social media,36.75,News consumption,24,Oct-24
2024,Sep,Survey,seeking,News seeking,38.32,News seeking,24,Sep-24
2024,Sep,Survey,sharing,News sharing,12.23,News sharing,24,Sep-24
2024,Sep,Survey,sources,National,40.83,News consumption,24,Sep-24
2024,Sep,Survey,sources,International,32.82,News consumption,24,Sep-24
2024,Sep,Survey,sources,Local,40.97,News consumption,24,Sep-24
2024,Sep,Survey,socmed_news,Social media,37.91,News consumption,24,Sep-24
2024,Apr,Survey,seeking,News seeking,5.94,News seeking,24,Apr-24
2024,Apr,Survey,sharing,News sharing,5.25,News sharing,24,Apr-24
2024,Apr,Survey,sources,National,36.8,News consumption,24,Apr-24
2024,Apr,Survey,sources,International,29.11,News consumption,24,Apr-24
2024,Apr,Survey,sources,Local,44.65,News consumption,24,Apr-24
2024,Apr,Survey,socmed_news,Social media,35.18,News consumption,24,Apr-24
