year,month,source,measure,label,value,title,year_new,month_year
2024,Apr,Digital,top_outlet_breakfast television,Breakfast Television,2.86,Top 5 news outlets,24,Apr-24
2024,Apr,Digital,top_outlet_cbc,CBC,13.27,Top 5 news outlets,24,Apr-24
2024,Apr,Digital,top_outlet_ctv,CTV,24.23,Top 5 news outlets,24,Apr-24
2024,Apr,Digital,top_outlet_curiocity,Curiocity,3.01,Top 5 news outlets,24,Apr-24
2024,Apr,Digital,top_outlet_global news,Global News,2.97,Top 5 news outlets,24,Apr-24
2024,Apr,Digital,top_news_platform_instagram,Instagram,5.42,Platforms used by news outlets,24,Apr-24
2024,Apr,Digital,local_news_local,Local,31.48,Local vs National news engagement,24,Apr-24
2024,Apr,Digital,local_news_national,National,68.52,Local vs National news engagement,24,Apr-24
2024,Apr,Digital,top_outlet_rebel news,Rebel News,8.67,Top 5 news outlets,24,Apr-24
2024,Apr,Digital,top_outlet_the post millennial,The Post Millennial,5.82,Top 5 news outlets,24,Apr-24
2024,Apr,Digital,top_news_platform_tiktok,TikTok,50.95,Platforms used by news outlets,24,Apr-24
2024,Apr,Digital,top_outlet_toronto star,Toronto Star,6.52,Top 5 news outlets,24,Apr-24
2024,Apr,Digital,top_outlet_toronto sun,Toronto Sun,3.2,Top 5 news outlets,24,Apr-24
2024,Apr,Digital,top_news_platform_twitter,Twitter,29.06,Platforms used by news outlets,24,Apr-24
2024,Apr,Digital,top_news_platform_youtube,YouTube,14.57,Platforms used by news outlets,24,Apr-24
2024,Apr,Digital,top_outlet_blogto,blogTO,5.49,Top 5 news outlets,24,Apr-24
2024,Aug,Digital,top_outlet_cbc,CBC,23.91,Top 5 news outlets,24,Aug-24
2024,Aug,Digital,top_outlet_cpac,CPAC,2.63,Top 5 news outlets,24,Aug-24
2024,Aug,Digital,top_outlet_ctv,CTV,13.43,Top 5 news outlets,24,Aug-24
2024,Aug,Digital,top_outlet_global news,Global News,8.66,Top 5 news outlets,24,Aug-24
2024,Aug,Digital,top_news_platform_instagram,Instagram,7.79,Platforms used by news outlets,24,Aug-24
2024,Aug,Digital,local_news_local,Local,22.35,Local vs National news engagement,24,Aug-24
2024,Aug,Digital,top_outlet_narcity,Narcity,1.96,Top 5 news outlets,24,Aug-24
2024,Aug,Digital,local_news_national,National,77.65,Local vs National news engagement,24,Aug-24
2024,Aug,Digital,top_outlet_radio canada,Radio Canada,2.04,Top 5 news outlets,24,Aug-24
2024,Aug,Digital,top_outlet_rebel news,Rebel News,9.1,Top 5 news outlets,24,Aug-24
2024,Aug,Digital,top_outlet_the post millennial,The Post Millennial,9.12,Top 5 news outlets,24,Aug-24
2024,Aug,Digital,top_news_platform_tiktok,TikTok,42.75,Platforms used by news outlets,24,Aug-24
2024,Aug,Digital,top_outlet_toronto sun,Toronto Sun,3.06,Top 5 news outlets,24,Aug-24
2024,Aug,Digital,top_outlet_true north,True North,2.3,Top 5 news outlets,24,Aug-24
2024,Aug,Digital,top_news_platform_twitter,Twitter,32.42,Platforms used by news outlets,24,Aug-24
2024,Aug,Digital,top_news_platform_youtube,YouTube,17.04,Platforms used by news outlets,24,Aug-24
2024,Feb,Digital,top_outlet_cbc,CBC,14.03,Top 5 news outlets,24,Feb-24
2024,Feb,Digital,top_outlet_cpac,CPAC,2.17,Top 5 news outlets,24,Feb-24
2024,Feb,Digital,top_outlet_ctv,CTV,22.53,Top 5 news outlets,24,Feb-24
2024,Feb,Digital,top_outlet_curiocity,Curiocity,2.08,Top 5 news outlets,24,Feb-24
2024,Feb,Digital,top_outlet_global news,Global News,5.39,Top 5 news outlets,24,Feb-24
2024,Feb,Digital,top_news_platform_instagram,Instagram,5.59,Platforms used by news outlets,24,Feb-24
2024,Feb,Digital,local_news_local,Local,34.17,Local vs National news engagement,24,Feb-24
2024,Feb,Digital,local_news_national,National,65.83,Local vs National news engagement,24,Feb-24
2024,Feb,Digital,top_outlet_rebel news,Rebel News,7.77,Top 5 news outlets,24,Feb-24
2024,Feb,Digital,top_outlet_the post millennial,The Post Millennial,7.6,Top 5 news outlets,24,Feb-24
2024,Feb,Digital,top_news_platform_tiktok,TikTok,45.83,Platforms used by news outlets,24,Feb-24
2024,Feb,Digital,top_outlet_toronto sun,Toronto Sun,3.72,Top 5 news outlets,24,Feb-24
2024,Feb,Digital,top_outlet_true north,True North,3.63,Top 5 news outlets,24,Feb-24
2024,Feb,Digital,top_news_platform_twitter,Twitter,34.23,Platforms used by news outlets,24,Feb-24
2024,Feb,Digital,top_news_platform_youtube,YouTube,14.35,Platforms used by news outlets,24,Feb-24
2024,Feb,Digital,top_outlet_blogto,blogTO,5.51,Top 5 news outlets,24,Feb-24
2024,Jan,Digital,top_outlet_cbc,CBC,13.99,Top 5 news outlets,24,Jan-24
2024,Jan,Digital,top_outlet_ctv,CTV,21.8,Top 5 news outlets,24,Jan-24
2024,Jan,Digital,top_outlet_curiocity,Curiocity,1.32,Top 5 news outlets,24,Jan-24
2024,Jan,Digital,top_outlet_global news,Global News,5.56,Top 5 news outlets,24,Jan-24
2024,Jan,Digital,top_outlet_insauga,Insauga,1.19,Top 5 news outlets,24,Jan-24
2024,Jan,Digital,top_news_platform_instagram,Instagram,5.4,Platforms used by news outlets,24,Jan-24
2024,Jan,Digital,local_news_local,Local,31.78,Local vs National news engagement,24,Jan-24
2024,Jan,Digital,local_news_national,National,68.22,Local vs National news engagement,24,Jan-24
2024,Jan,Digital,top_outlet_rebel news,Rebel News,11.93,Top 5 news outlets,24,Jan-24
2024,Jan,Digital,top_outlet_the post millennial,The Post Millennial,8.1,Top 5 news outlets,24,Jan-24
2024,Jan,Digital,top_news_platform_tiktok,TikTok,41.51,Platforms used by news outlets,24,Jan-24
2024,Jan,Digital,top_outlet_toronto sun,Toronto Sun,4.52,Top 5 news outlets,24,Jan-24
2024,Jan,Digital,top_outlet_true north,True North,3.29,Top 5 news outlets,24,Jan-24
2024,Jan,Digital,top_news_platform_twitter,Twitter,29.04,Platforms used by news outlets,24,Jan-24
2024,Jan,Digital,top_news_platform_youtube,YouTube,24.04,Platforms used by news outlets,24,Jan-24
2024,Jan,Digital,top_outlet_blogto,blogTO,7.3,Top 5 news outlets,24,Jan-24
2024,Jul,Digital,top_outlet_cbc,CBC,14.44,Top 5 news outlets,24,Jul-24
2024,Jul,Digital,top_outlet_ctv,CTV,28.77,Top 5 news outlets,24,Jul-24
2024,Jul,Digital,top_outlet_global news,Global News,4.75,Top 5 news outlets,24,Jul-24
2024,Jul,Digital,top_news_platform_instagram,Instagram,3.69,Platforms used by news outlets,24,Jul-24
2024,Jul,Digital,local_news_local,Local,32.06,Local vs National news engagement,24,Jul-24
2024,Jul,Digital,local_news_national,National,67.94,Local vs National news engagement,24,Jul-24
2024,Jul,Digital,top_outlet_rebel news,Rebel News,6.81,Top 5 news outlets,24,Jul-24
2024,Jul,Digital,top_outlet_the breakdown,The Breakdown,1.48,Top 5 news outlets,24,Jul-24
2024,Jul,Digital,top_outlet_the post millennial,The Post Millennial,9.17,Top 5 news outlets,24,Jul-24
2024,Jul,Digital,top_news_platform_tiktok,TikTok,49.29,Platforms used by news outlets,24,Jul-24
2024,Jul,Digital,top_outlet_toronto sun,Toronto Sun,3.43,Top 5 news outlets,24,Jul-24
2024,Jul,Digital,top_outlet_true north,True North,4.11,Top 5 news outlets,24,Jul-24
2024,Jul,Digital,top_news_platform_twitter,Twitter,29.79,Platforms used by news outlets,24,Jul-24
2024,Jul,Digital,top_outlet_vancouver is awesome,Vancouver is Awesome,3.45,Top 5 news outlets,24,Jul-24
2024,Jul,Digital,top_news_platform_youtube,YouTube,17.24,Platforms used by news outlets,24,Jul-24
2024,Jul,Digital,top_outlet_blogto,blogTO,3.18,Top 5 news outlets,24,Jul-24
2024,Jun,Digital,top_outlet_cbc,CBC,15.31,Top 5 news outlets,24,Jun-24
2024,Jun,Digital,top_outlet_ctv,CTV,36.13,Top 5 news outlets,24,Jun-24
2024,Jun,Digital,top_outlet_global news,Global News,3.99,Top 5 news outlets,24,Jun-24
2024,Jun,Digital,top_news_platform_instagram,Instagram,3.14,Platforms used by news outlets,24,Jun-24
2024,Jun,Digital,local_news_local,Local,30.41,Local vs National news engagement,24,Jun-24
2024,Jun,Digital,local_news_national,National,69.59,Local vs National news engagement,24,Jun-24
2024,Jun,Digital,top_outlet_now toronto,Now Toronto,2.81,Top 5 news outlets,24,Jun-24
2024,Jun,Digital,top_outlet_rebel news,Rebel News,5.11,Top 5 news outlets,24,Jun-24
2024,Jun,Digital,top_outlet_the post millennial,The Post Millennial,4.97,Top 5 news outlets,24,Jun-24
2024,Jun,Digital,top_news_platform_tiktok,TikTok,62.12,Platforms used by news outlets,24,Jun-24
2024,Jun,Digital,top_outlet_toronto sun,Toronto Sun,3.92,Top 5 news outlets,24,Jun-24
2024,Jun,Digital,top_outlet_true north,True North,2.97,Top 5 news outlets,24,Jun-24
2024,Jun,Digital,top_news_platform_twitter,Twitter,21.87,Platforms used by news outlets,24,Jun-24
2024,Jun,Digital,top_outlet_vancouver is awesome,Vancouver is Awesome,2.27,Top 5 news outlets,24,Jun-24
2024,Jun,Digital,top_news_platform_youtube,YouTube,12.87,Platforms used by news outlets,24,Jun-24
2024,Jun,Digital,top_outlet_blogto,blogTO,5.26,Top 5 news outlets,24,Jun-24
2024,Mar,Digital,top_outlet_cbc,CBC,23.67,Top 5 news outlets,24,Mar-24
2024,Mar,Digital,top_outlet_ctv,CTV,12.54,Top 5 news outlets,24,Mar-24
