year,month,source,measure,label,value,title,year_new,month_year
2024,Apr,Digital,party_leader_Bloc Québécois,Bloc Québécois,0.39,Engagement with federal political party leadership,24,Apr-24
2024,Apr,Digital,party_member_Bloc Québécois,Bloc Québécois,1.59,Engagement with elected party members,24,Apr-24
2024,Apr,Digital,party_leader_Conservative,Conservative,68.13,Engagement with federal political party leadership,24,Apr-24
2024,Apr,Digital,party_member_Conservative,Conservative,43.5,Engagement with elected party members,24,Apr-24
2024,Apr,Digital,party_leader_Green,Green,0.14,Engagement with federal political party leadership,24,Apr-24
2024,Apr,Digital,party_member_Green,Green,0.85,Engagement with elected party members,24,Apr-24
2024,Apr,Digital,politician_platform_Instagram,Instagram,31.39,Top social media platforms,24,Apr-24
2024,Apr,Digital,party_leader_Liberal,Liberal,18.44,Engagement with federal political party leadership,24,Apr-24
2024,Apr,Digital,party_member_Liberal,Liberal,35.89,Engagement with elected party members,24,Apr-24
2024,Apr,Digital,party_leader_NDP,NDP,12.89,Engagement with federal political party leadership,24,Apr-24
2024,Apr,Digital,party_member_NDP,NDP,18.18,Engagement with elected party members,24,Apr-24
2024,Apr,Digital,engagement_type_2cat_news outlet,News outlet,53.97,Engagement with Politicians vs. News,24,Apr-24
2024,Apr,Digital,engagement_type_2cat_politician,Politician,46.03,Engagement with Politicians vs. News,24,Apr-24
2024,Apr,Digital,politician_platform_TikTok,TikTok,9.9,Top social media platforms,24,Apr-24
2024,Apr,Digital,politician_platform_Twitter,Twitter,54.03,Top social media platforms,24,Apr-24
2024,Apr,Digital,politician_platform_YouTube,YouTube,4.68,Top social media platforms,24,Apr-24
2024,Aug,Digital,party_leader_Bloc Québécois,Bloc Québécois,0.26,Engagement with federal political party leadership,24,Aug-24
2024,Aug,Digital,party_member_Bloc Québécois,Bloc Québécois,0.7,Engagement with elected party members,24,Aug-24
2024,Aug,Digital,party_leader_Conservative,Conservative,64.15,Engagement with federal political party leadership,24,Aug-24
2024,Aug,Digital,party_member_Conservative,Conservative,44.88,Engagement with elected party members,24,Aug-24
2024,Aug,Digital,party_leader_Green,Green,0.03,Engagement with federal political party leadership,24,Aug-24
2024,Aug,Digital,party_member_Green,Green,0.81,Engagement with elected party members,24,Aug-24
2024,Aug,Digital,politician_platform_Instagram,Instagram,37.85,Top social media platforms,24,Aug-24
2024,Aug,Digital,party_leader_Liberal,Liberal,27.69,Engagement with federal political party leadership,24,Aug-24
2024,Aug,Digital,party_member_Liberal,Liberal,33.5,Engagement with elected party members,24,Aug-24
2024,Aug,Digital,party_leader_NDP,NDP,7.87,Engagement with federal political party leadership,24,Aug-24
2024,Aug,Digital,party_member_NDP,NDP,20.12,Engagement with elected party members,24,Aug-24
2024,Aug,Digital,engagement_type_2cat_news outlet,News outlet,58.89,Engagement with Politicians vs. News,24,Aug-24
2024,Aug,Digital,engagement_type_2cat_politician,Politician,41.11,Engagement with Politicians vs. News,24,Aug-24
2024,Aug,Digital,politician_platform_TikTok,TikTok,12.8,Top social media platforms,24,Aug-24
2024,Aug,Digital,politician_platform_Twitter,Twitter,46.92,Top social media platforms,24,Aug-24
2024,Aug,Digital,politician_platform_YouTube,YouTube,2.43,Top social media platforms,24,Aug-24
2024,Feb,Digital,party_leader_Bloc Québécois,Bloc Québécois,0.4,Engagement with federal political party leadership,24,Feb-24
2024,Feb,Digital,party_member_Bloc Québécois,Bloc Québécois,1.38,Engagement with elected party members,24,Feb-24
2024,Feb,Digital,party_leader_Conservative,Conservative,60.61,Engagement with federal political party leadership,24,Feb-24
2024,Feb,Digital,party_member_Conservative,Conservative,51.17,Engagement with elected party members,24,Feb-24
2024,Feb,Digital,party_leader_Green,Green,0.03,Engagement with federal political party leadership,24,Feb-24
2024,Feb,Digital,party_member_Green,Green,0.85,Engagement with elected party members,24,Feb-24
2024,Feb,Digital,politician_platform_Instagram,Instagram,37.72,Top social media platforms,24,Feb-24
2024,Feb,Digital,party_leader_Liberal,Liberal,24.09,Engagement with federal political party leadership,24,Feb-24
2024,Feb,Digital,party_member_Liberal,Liberal,23.06,Engagement with elected party members,24,Feb-24
2024,Feb,Digital,party_leader_NDP,NDP,14.87,Engagement with federal political party leadership,24,Feb-24
2024,Feb,Digital,party_member_NDP,NDP,23.53,Engagement with elected party members,24,Feb-24
2024,Feb,Digital,engagement_type_2cat_news outlet,News outlet,50.3,Engagement with Politicians vs. News,24,Feb-24
2024,Feb,Digital,engagement_type_2cat_politician,Politician,49.7,Engagement with Politicians vs. News,24,Feb-24
2024,Feb,Digital,politician_platform_TikTok,TikTok,3.77,Top social media platforms,24,Feb-24
2024,Feb,Digital,politician_platform_Twitter,Twitter,49.53,Top social media platforms,24,Feb-24
2024,Feb,Digital,politician_platform_YouTube,YouTube,8.98,Top social media platforms,24,Feb-24
2024,Jan,Digital,party_leader_Bloc Québécois,Bloc Québécois,0.38,Engagement with federal political party leadership,24,Jan-24
2024,Jan,Digital,party_member_Bloc Québécois,Bloc Québécois,0.98,Engagement with elected party members,24,Jan-24
2024,Jan,Digital,party_leader_Conservative,Conservative,72.7,Engagement with federal political party leadership,24,Jan-24
2024,Jan,Digital,party_member_Conservative,Conservative,36.26,Engagement with elected party members,24,Jan-24
2024,Jan,Digital,party_leader_Green,Green,0.14,Engagement with federal political party leadership,24,Jan-24
2024,Jan,Digital,party_member_Green,Green,0.68,Engagement with elected party members,24,Jan-24
2024,Jan,Digital,politician_platform_Instagram,Instagram,30.56,Top social media platforms,24,Jan-24
2024,Jan,Digital,party_leader_Liberal,Liberal,17.3,Engagement with federal political party leadership,24,Jan-24
2024,Jan,Digital,party_member_Liberal,Liberal,43.34,Engagement with elected party members,24,Jan-24
2024,Jan,Digital,party_leader_NDP,NDP,9.48,Engagement with federal political party leadership,24,Jan-24
2024,Jan,Digital,party_member_NDP,NDP,18.75,Engagement with elected party members,24,Jan-24
2024,Jan,Digital,engagement_type_2cat_news outlet,News outlet,58.02,Engagement with Politicians vs. News,24,Jan-24
2024,Jan,Digital,engagement_type_2cat_politician,Politician,41.98,Engagement with Politicians vs. News,24,Jan-24
2024,Jan,Digital,politician_platform_TikTok,TikTok,19.45,Top social media platforms,24,Jan-24
2024,Jan,Digital,politician_platform_Twitter,Twitter,45.85,Top social media platforms,24,Jan-24
2024,Jan,Digital,politician_platform_YouTube,YouTube,4.14,Top social media platforms,24,Jan-24
2024,Jul,Digital,party_leader_Bloc Québécois,Bloc Québécois,0.18,Engagement with federal political party leadership,24,Jul-24
2024,Jul,Digital,party_member_Bloc Québécois,Bloc Québécois,0.43,Engagement with elected party members,24,Jul-24
2024,Jul,Digital,party_leader_Conservative,Conservative,63.19,Engagement with federal political party leadership,24,Jul-24
2024,Jul,Digital,party_member_Conservative,Conservative,49.84,Engagement with elected party members,24,Jul-24
2024,Jul,Digital,party_leader_Green,Green,0.07,Engagement with federal political party leadership,24,Jul-24
2024,Jul,Digital,party_member_Green,Green,0.87,Engagement with elected party members,24,Jul-24
2024,Jul,Digital,politician_platform_Instagram,Instagram,39.71,Top social media platforms,24,Jul-24
2024,Jul,Digital,party_leader_Liberal,Liberal,30.44,Engagement with federal political party leadership,24,Jul-24
2024,Jul,Digital,party_member_Liberal,Liberal,25.63,Engagement with elected party members,24,Jul-24
2024,Jul,Digital,party_leader_NDP,NDP,6.12,Engagement with federal political party leadership,24,Jul-24
2024,Jul,Digital,party_member_NDP,NDP,23.23,Engagement with elected party members,24,Jul-24
2024,Jul,Digital,engagement_type_2cat_news outlet,News outlet,60.25,Engagement with Politicians vs. News,24,Jul-24
2024,Jul,Digital,engagement_type_2cat_politician,Politician,39.75,Engagement with Politicians vs. News,24,Jul-24
2024,Jul,Digital,politician_platform_TikTok,TikTok,4.33,Top social media platforms,24,Jul-24
2024,Jul,Digital,politician_platform_Twitter,Twitter,51.72,Top social media platforms,24,Jul-24
2024,Jul,Digital,politician_platform_YouTube,YouTube,4.24,Top social media platforms,24,Jul-24
2024,Jun,Digital,party_leader_Bloc Québécois,Bloc Québécois,0.39,Engagement with federal political party leadership,24,Jun-24
2024,Jun,Digital,party_member_Bloc Québécois,Bloc Québécois,0.83,Engagement with elected party members,24,Jun-24
2024,Jun,Digital,party_leader_Conservative,Conservative,57.96,Engagement with federal political party leadership,24,Jun-24
2024,Jun,Digital,party_member_Conservative,Conservative,42.11,Engagement with elected party members,24,Jun-24
2024,Jun,Digital,party_leader_Green,Green,0.51,Engagement with federal political party leadership,24,Jun-24
2024,Jun,Digital,party_member_Green,Green,0.86,Engagement with elected party members,24,Jun-24
2024,Jun,Digital,politician_platform_Instagram,Instagram,30.57,Top social media platforms,24,Jun-24
2024,Jun,Digital,party_leader_Liberal,Liberal,21.51,Engagement with federal political party leadership,24,Jun-24
2024,Jun,Digital,party_member_Liberal,Liberal,31.78,Engagement with elected party members,24,Jun-24
2024,Jun,Digital,party_leader_NDP,NDP,19.63,Engagement with federal political party leadership,24,Jun-24
2024,Jun,Digital,party_member_NDP,NDP,24.43,Engagement with elected party members,24,Jun-24
2024,Jun,Digital,engagement_type_2cat_news outlet,News outlet,62.85,Engagement with Politicians vs. News,24,Jun-24
2024,Jun,Digital,engagement_type_2cat_politician,Politician,37.15,Engagement with Politicians vs. News,24,Jun-24
2024,Jun,Digital,politician_platform_TikTok,TikTok,11.35,Top social media platforms,24,Jun-24
2024,Jun,Digital,politician_platform_Twitter,Twitter,54.03,Top social media platforms,24,Jun-24
2024,Jun,Digital,politician_platform_YouTube,YouTube,4.05,Top social media platforms,24,Jun-24
2024,Mar,Digital,party_leader_Bloc Québécois,Bloc Québécois,0.33,Engagement with federal political party leadership,24,Mar-24
2024,Mar,Digital,party_member_Bloc Québécois,Bloc Québécois,1.57,Engagement with elected party members,24,Mar-24
2024,Mar,Digital,party_leader_Conservative,Conservative,74.83,Engagement with federal political party leadership,24,Mar-24
2024,Mar,Digital,party_member_Conservative,Conservative,49.07,Engagement with elected party members,24,Mar-24
2024,Mar,Digital,party_leader_Green,Green,0.12,Engagement with federal political party leadership,24,Mar-24
2024,Mar,Digital,party_member_Green,Green,0.85,Engagement with elected party members,24,Mar-24
2024,Mar,Digital,politician_platform_Instagram,Instagram,30,Top social media platforms,24,Mar-24
2024,Mar,Digital,party_leader_Liberal,Liberal,15.08,Engagement with federal political party leadership,24,Mar-24
2024,Mar,Digital,party_member_Liberal,Liberal,31.13,Engagement with elected party members,24,Mar-24
2024,Mar,Digital,party_leader_NDP,NDP,9.64,Engagement with federal political party leadership,24,Mar-24
