year,month,source,section,number,measure,label,value,shown_value,title,caption,img_label
2024,apr,Digital,2,5,toxicity,,0.014732293,0.015,Toxic speech,How prevalent is toxic speech in the CIE?,Less More
2024,apr,Digital,2,2,segmentation,,0.88542848,0.89,Segmentation,How divided into distinct communities is the CIE?,0 Low 1 High
2024,apr,Digital,2,1,overall_inequality,,0.88542848,0.885,Inequality,How skewed is the CIE towards a small set of accounts?,0 Low 1 High
2024,apr,Digital,2,1,overall_inequality,,0.917148845,0.917,Inequality,How skewed is the CIE towards a small set of accounts?,0 Low 1 High
2024,apr,Digital,2,2,segmentation,,0.667326472,0.67,Segmentation,How divided into distinct communities is the CIE?,0 Low 1 High
2024,apr,Digital,2,3,insularity_cpc,Conservative,0.071809207,0.072,Insularity,How insular are parties relative to one another?,Less More
2024,apr,Digital,2,3,insularity_lpc,Liberal,0.170068694,0.17,Insularity,How insular are parties relative to one another?,Less More
2024,apr,Digital,2,3,insularity_ndp,NDP,0.13235831,0.132,Insularity,How insular are parties relative to one another?,Less More
2024,apr,Digital,3,4,total_to_cad_russia,,0.157313846,0.16,Directed foreign influence,To what extent are overt foreign influencers impacting the CIE?,Less More
2024,apr,Digital,3,4,total_to_cad_china,,0.491398474,0.49,Directed foreign influence,To what extent are overt foreign influencers impacting the CIE?,Less More
2024,apr,Digital,3,4,total_to_cad_india,,1.294816923,1.29,Directed foreign influence,To what extent are overt foreign influencers impacting the CIE?,Less More
2024,apr,Digital,3,1,misinfo_references,,0.37320524,0.37%,Discussion about misinformation and foreign interference,How often do people post about misinformation and foreign interference?,
2024,apr,Digital,3,1,misinfo_references,,0.368219718,0.37%,Discussion about misinformation and foreign interference,How often do people post about misinformation and foreign interference?,
2024,apr,Digital,3,5,from_china,China,0.978144674,0.98,Directed foreign influence,To what extent are overt foreign influencers impacting the CIE?,Less More
2024,apr,Digital,3,5,from_india,India,3.926783119,3.93,Directed foreign influence,To what extent are overt foreign influencers impacting the CIE?,Less More
2024,apr,Digital,3,3,misinfo_link_engagement,Percentage engagement,14.75669034,14.76%,Linking to known misinformation websites,How common and popular are web links to known misinformation websites?,
2024,apr,Digital,3,3,misinfo_links,Percentage links,1.665602693,1.67%,Linking to known misinformation websites,How common and popular are web links to known misinformation websites?,
2024,apr,Digital,3,5,from_russia,Russia,0.265690942,0.27,Directed foreign influence,To what extent are overt foreign influencers impacting the CIE?,Less More
2024,apr,Digital,4,6,news_inequality,,0.952973939,0.953,Inequality,How skewed is the CIE to a smallnumber of news outlets?,0 Low 1 High
