year,month,source,section,number,measure,label,value,shown_value,title,caption,img_label
2024,apr,Digital,2,1,overall_inequality,"",0.91787688476768,0.918,Inequality,How skewed is the CIE towards a small set of accounts?,0 Low 1 High
2024,apr,Digital,2,2,segmentation,"",0.665588940578093,0.67,Segmentation,How divided into distinct communities is the CIE?,0 Low 1 High
2024,apr,Digital,2,5,toxicity,"",0.0283447853672646,0.028,Toxic speech,How prevalent is toxic speech in the CIE?,Less More
2024,apr,Digital,2,3,insularity_cpc,Conservative,0.0720244704013201,0.072,Insularity,How insular are parties relative to one another?,Less More
2024,apr,Digital,2,3,insularity_lpc,Liberal,0.170343649812608,0.17,Insularity,How insular are parties relative to one another?,Less More
2024,apr,Digital,2,3,insularity_ndp,NDP,0.133038973320543,0.133,Insularity,How insular are parties relative to one another?,Less More
2024,apr,Digital,3,1,misinfo_references,"",0.377497232670026,0.377%,Discussion about misinformation and foreign interference,How often do people post about misinformation and foreign interference?,""
2024,apr,Digital,3,5,from_china,China,0.903679748282426,0.9,Directed foreign influence,To what extent are overt foreign influencers impacting the CIE?,Less More
2024,apr,Digital,3,5,from_india,India,3.78813603707257,3.79,Directed foreign influence,To what extent are overt foreign influencers impacting the CIE?,Less More
2024,apr,Digital,3,4,misinfo_link_engagement,Percentage engagement,15.4209942982278,15.42%,Linking to known misinformation websites,How common and popular are web links to known misinformation websites?,""
2024,apr,Digital,3,3,misinfo_links,Percentage links,1.72848874675532,1.73%,Linking to known misinformation websites,How common and popular are web links to known misinformation websites?,""
2024,apr,Digital,3,5,from_russia,Russia,0.247537980404123,0.25,Directed foreign influence,To what extent are overt foreign influencers impacting the CIE?,Less More
2024,apr,Digital,4,6,news_inequality,"",0.94955649735145,0.95,Inequality,How skewed is the CIE to a smallnumber of news outlets?,0 Low 1 High
2024,apr,Digital,4,12,party_leader_Bloc Québécois,Bloc Québécois,0.392131175662136,0.4%,Engagement with party leaders,Which party leaders are most engaging with Canadians?,0 25 50 75 100
2024,apr,Digital,4,13,party_member_Bloc Québécois,Bloc Québécois,1.58586735514282,1.6%,Engagement with elected party members,Which elected party members are most engaging with Canadians?,0 25 50 75 100
2024,apr,Digital,4,7,top_outlet_breakfast television,Breakfast Television,2.86230673710037,2.9%,Top 5 Canadian news outlets,What are the top 5 Canadian news outlets? What is their share of total engagement?,""
2024,apr,Digital,4,7,top_outlet_cbc,CBC,13.2672265024239,13.3%,Top 5 Canadian news outlets,What are the top 5 Canadian news outlets? What is their share of total engagement?,""
2024,apr,Digital,4,7,top_outlet_ctv,CTV,24.2307669305605,24.2%,Top 5 Canadian news outlets,What are the top 5 Canadian news outlets? What is their share of total engagement?,""
2024,apr,Digital,4,12,party_leader_Conservative,Conservative,68.1323952341522,68.1%,Engagement with party leaders,Which party leaders are most engaging with Canadians?,0 25 50 75 100
