year,month,source,section,number,measure,label,value,shown_value,title,caption,img_label
2025,jan,Digital,2,1,overall_inequality,"",0.941930541356194,0.942,Inequality,How skewed is the CIE towards a small set of accounts?,0 Low 1 High
2025,jan,Digital,2,2,segmentation,"",0.673013243587371,0.67,Segmentation,How divided into distinct communities is the CIE?,0 Low 1 High
2025,jan,Digital,2,3,insularity_cpc,Conservative,0.0642808363909302,0.064,Insularity,How insular are parties relative to one another?,Less More
2025,jan,Digital,2,3,insularity_lpc,Liberal,0.137436401234132,0.137,Insularity,How insular are parties relative to one another?,Less More
2025,jan,Digital,2,3,insularity_ndp,NDP,0.10931154017698,0.109,Insularity,How insular are parties relative to one another?,Less More
2025,jan,Digital,3,1,misinfo_references,"",0.468272340124755,0.468%,Discussion about misinformation and foreign interference,How often do people post about misinformation and foreign interference?,""
2025,jan,Digital,3,5,from_china,China,1.12289691801336,1.12,Directed foreign influence,To what extent are overt foreign influencers impacting the CIE?,Less More
2025,jan,Digital,3,5,from_india,India,9.00526392821692,9.01,Directed foreign influence,To what extent are overt foreign influencers impacting the CIE?,Less More
2025,jan,Digital,3,4,misinfo_link_engagement,Percentage engagement,5.19876942051934,5.2%,Linking to known misinformation websites,How common and popular are web links to known misinformation websites?,""
2025,jan,Digital,3,3,misinfo_links,Percentage links,1.63849742521833,1.64%,Linking to known misinformation websites,How common and popular are web links to known misinformation websites?,""
2025,jan,Digital,3,5,from_russia,Russia,0.499332335530252,0.5,Directed foreign influence,To what extent are overt foreign influencers impacting the CIE?,Less More
2025,jan,Digital,4,6,news_inequality,"",0.96258933944338,0.963,Inequality,How skewed is the CIE to a smallnumber of news outlets?,0 Low 1 High
2025,jan,Digital,4,12,party_leader_Bloc Québécois,Bloc Québécois,0.146768681761438,0.1%,Engagement with party leaders,Which party leaders are most engaging with Canadians?,0 25 50 75 100
2025,jan,Digital,4,13,party_member_Bloc Québécois,Bloc Québécois,1.48908018630163,1.5%,Engagement with elected party members,Which elected party members are most engaging with Canadians?,0 25 50 75 100
2025,jan,Digital,4,7,top_outlet_cbc,CBC,20.534336097663,20.5%,Top 5 Canadian news outlets,What are the top 5 Canadian news outlets? What is their share of total engagement?,""
2025,jan,Digital,4,7,top_outlet_ctv,CTV,28.9255188705564,28.9%,Top 5 Canadian news outlets,What are the top 5 Canadian news outlets? What is their share of total engagement?,""
2025,jan,Digital,4,12,party_leader_Conservative,Conservative,61.1943864788663,61.2%,Engagement with party leaders,Which party leaders are most engaging with Canadians?,0 25 50 75 100
2025,jan,Digital,4,13,party_member_Conservative,Conservative,60.3430909293984,60.3%,Engagement with elected party members,Which elected party members are most engaging with Canadians?,0 25 50 75 100
2025,jan,Digital,4,7,top_outlet_global news,Global News,4.25356557484737,4.3%,Top 5 Canadian news outlets,What are the top 5 Canadian news outlets? What is their share of total engagement?,""
2025,jan,Digital,4,12,party_leader_Green,Green,0.505066469807944,0.5%,Engagement with party leaders,Which party leaders are most engaging with Canadians?,0 25 50 75 100
2025,jan,Digital,4,13,party_member_Green,Green,0.475903173067491,0.5%,Engagement with elected party members,Which elected party members are most engaging with Canadians?,0 25 50 75 100
2025,jan,Digital,4,9,top_news_platform_instagram,Instagram,17.297527659435,17.3%,Social media platforms,Which social media platforms are most popular for news?,""
2025,jan,Digital,4,11,politician_platform_Instagram,Instagram,42.8377636829531,42.8%,Social media platforms,Which social media platforms are most popular for Canadian politicians?,0 25 50 75 100
2025,jan,Digital,4,12,party_leader_Liberal,Liberal,29.7187290227692,29.7%,Engagement with party leaders,Which party leaders are most engaging with Canadians?,0 25 50 75 100
2025,jan,Digital,4,13,party_member_Liberal,Liberal,21.2469329541612,21.2%,Engagement with elected party members,Which elected party members are most engaging with Canadians?,0 25 50 75 100
2025,jan,Digital,4,8,local_news_local,Local,32.5914074883013,32.6%,Top 5 Canadian news outlets,How skewed is preference for national versus local news?,0 25 50 75 100
